I_D,FLAG_TSUNAMI,YEAR,EQ_PRIMARY,COUNTRY,LATITUDE,LONGITUDE,REGION_CODE,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
1225,,1722,,GREECE,38.7,20.6,130,,,,,,,,2,,3,,
9533,Tsu,1722,,INDONESIA,-6.174,106.829,60,,,,,,,,,,,,
1227,Tsu,1722,,PORTUGAL,37.2,-7.6,130,,3,,,,,,2,27,1,,
1228,Tsu,1723,7,GREECE,38.5,20.5,130,,1,,,,,,2,,3,,
1230,,1725,7.7,PERU,-9,-79,160,1500,4,,,,,,3,,3,,
1234,,1725,7.6,PERU,-16.4,-70.8,160,,,,,,,,1,,,,1
1233,,1725,6,CHINA,25.1,103.1,30,614,3,,,184,3,,3,,3,,
1235,,1725,8.2,RUSSIA,56.5,118.5,40,,,,,,,,,,,,
6022,Tsu,1725,,PERU,-16.6,-72.7,160,,,,,,,,2,,,,
7922,,1725,5.5,CHINA,30.1,101.9,30,,4,,,,,,2,,,,
5997,Tsu,1726,6.6,JAPAN,36.3,136,30,,3,,,,,,2,,2,,
1237,,1726,,ITALY,38.1,13.35,130,250,3,,,,,,3,1614,4,,
1238,,1727,,MEXICO,19.2,-99.1,150,,,,,,,,,,,,
1239,,1727,5.7,NORTH KOREA,39.5,127.3,30,,,,,,,,,,,,
10004,Tsu,1727,5.2,ITALY,37.5,13,130,,,,,,,,,,,,
1241,,1727,,MARTINIQUE,14.4,-61,90,,,,,,,,,,,,
1242,,1727,,IRAN,38,46.3,140,77000,,,,,,,4,,,,
1243,,1728,,PHILIPPINES,14.4,121,170,,,,,,,,,,,,
1244,,1729,,JAPAN,37.5,137,30,,,,,,,,,,,,
1247,,1730,,ITALY,44,10.1,130,,,,,,,,,,,,
1248,,1730,,ITALY,42.8,13,130,,,,,,,,,,,,
1249,,1730,,AZORES (PORTUGAL),38.5,-28,130,,,,,,,,,,,,
1246,Tsu,1730,9.1,CHILE,-32.5,-71.5,160,5,1,,,,,,3,,3,,
1253,,1730,6.5,CHINA,40,116.2,30,658,3,,,,,,4,26000,4,,
9815,Tsu,1730,7.6,JAPAN,36.2,142.2,30,,,,,,,,,,,,
1245,,1730,,PHILIPPINES,14.1,121.4,170,,,,,,,,,,,,
1256,,1731,,ITALY,41.5,15.5,130,,,,,,,,,,,,
10028,Tsu,1731,6.6,JAPAN,37.9,140.6,30,,,,,,,,,,,,
1257,,1731,,MEXICO,23,-102,150,,,,,,,,,,,,
1255,,1731,,MOROCCO,30.3,-9.4,15,,,,,,,,3,,,,
5999,Tsu,1732,,MEXICO,16.8,-99.9,150,,,,,,,,3,,3,,
1259,,1732,,ITALY,41.08,15.15,130,1940,4,,,,,,3,,3,,
6000,Tsu,1732,6.5,JAPAN,35.2,140.8,30,,,,,,,,,,,,
7264,,1732,,ICELAND,,,120,,,,,,,,3,,3,,
1261,,1733,7.5,CHINA,26.2,103.1,30,,2,,,,,,2,,2,,
1262,,1733,,ETHIOPIA,15.7,39,10,,,,,,,,,,,,
7263,,1734,,ICELAND,,,120,,,,,,,,3,,3,,
7262,,1734,,UK,,,120,,,,,,,,3,105,3,,
1263,,1735,4.5,COLOMBIA,2.6,-76.5,160,,1,,,,,,3,,3,,
6014,Tsu,1735,,PHILIPPINES,15.8,121.7,170,,3,,,,,,2,,3,,
1265,,1736,6,TAIWAN,23.1,120.3,30,260,3,,,100,2,,2,500,3,,
1267,,1736,,ECUADOR,-0.9,-78.6,160,,,,,,,,,,,,
1268,Tsu,1737,,INDIA,,,60,,,,,,,,,,,,
6001,Tsu,1737,,RUSSIA,51.1,158,50,3,1,,,,,,,,,,
1270,,1737,7.8,RUSSIA,55.5,163,50,,,,,,,,,,,,
1271,Tsu,1737,7.5,RUSSIA,50,157,50,,,,,,,,,,,,
1272,Tsu,1737,8,CHILE,-43,-74,160,,2,,,,,,2,,2,,
10477,,1738,5.1,CROATIA,46.45,16.39,130,,,,,,,,2,,,,
7963,,1738,5.5,CHINA,33.2,104.2,30,,2,,,,,,2,,2,,
6002,Tsu,1738,6.5,GREECE,36.8,24.4,130,,,,,,,,2,,2,,
7964,,1738,6.5,CHINA,33.3,96.6,30,336,3,,,,,,,,,,
1274,,1739,8,CHINA,38.9,106.5,30,50000,4,,,,,,4,,4,,
1275,,1739,,SERBIA,44,21.3,130,,,,,,,,,,,,
1273,,1739,,PERU,-14.1,-73.2,160,,,,,,,,,,,,
1277,,1739,,MEXICO,19.2,-104,150,,,,,,,,,,,,
1276,,1739,,AZORES (PORTUGAL),39.3,-31.1,130,,,,,,,,,,,,
1278,,1739,7.1,JAPAN,40.7,142.3,30,,,,,,,,,,,,
1279,,1740,,MEXICO,17,-96.3,150,,,,,,,,,,,,
1280,,1740,,SERBIA,45.1,19.8,130,,,,,,,,,,,,
1281,,1741,,ITALY,43.2,12.6,130,,,,,,,,,,,,
1282,,1741,,GREECE,38.5,20.5,130,,,,,,,,,,,,
1283,,1742,,GREECE,37.8,21,130,,,,,,,,,,,,
9783,Tsu,1742,,CHILE,-36.8,-73,160,,,,,,,,,,,,
1284,,1742,7.7,RUSSIA,53.3,104,40,,,,,,,,,,,,
1285,,1742,,GREECE,37.8,21,130,,,,,,,,,,,,
1286,Tsu,1742,7.5,RUSSIA,50.5,157,50,,,,,,,,,,,,
1288,,1743,,PHILIPPINES,14,121.6,170,,,,,,,,,,,,
7777,Tsu,1743,6.9,GREECE,39,20.3,130,,,,,,,,,,,,
1290,,1743,,PHILIPPINES,11.2,124.3,170,,,,,,,,,,,,
1291,,1743,,COLOMBIA,4.5,-73.8,160,,,,,,,,,,,,
6023,Tsu,1744,,PHILIPPINES,17,121,170,,,,,,,,,,,,
1295,Tsu,1746,8,PERU,-11.996,-77.198,160,5941,4,,,,,,4,,4,,
1298,,1747,,PERU,-13.9,-70.35,160,,3,,,,,,3,,,,
9910,Tsu,1747,,PHILIPPINES,13.6,123.2,170,,,,,,,,,,,,
8095,,1748,5.5,CHINA,30.1,101.9,30,15,1,,,34,1,,1,14,,,
1299,,1748,,SPAIN,39,-0.65,130,,3,,,,,,2,,3,,
8096,,1748,5.5,CHINA,32.9,103.6,30,,,,,,,,2,,,,
1300,Tsu,1748,6.8,GREECE,38.3,22.1,130,,3,,,,,,3,,3,,
7965,,1748,6,CHINA,30.4,101.6,30,5,1,,,,,,1,72,2,,
1301,,1748,5.5,CHINA,36.4,106.1,30,40,1,,,,,,2,130,3,,
1304,Tsu,1749,,PHILIPPINES,14.002,120.993,170,,1,,,,,,3,,3,,
1302,,1749,,MEXICO,20.7,-103.3,150,,,,,,,,3,,3,,
1306,,1750,,FRANCE,43.2,0.8,120,,2,,,,,,3,,,,
1307,,1750,,GREECE,36.2,23,130,,,,,,,,,,,,
1308,,1750,6,CHINA,24.7,102.9,30,37,1,,,,,,2,,2,,
1309,Tsu,1750,,BULGARIA,42.1,24.8,110,,,,,,,,3,,3,,
1310,,1750,,CROATIA,46,12.25,130,,3,,,,,,3,,3,,
6837,Tsu,1750,,VENEZUELA,10.5,-64.2,90,,,,,,,,,,,,
5906,Tsu,1750,,MYANMAR (BURMA),18.5,93.4,60,,,,,,,,,,,,
1305,,1750,,MEXICO,20.7,-103.3,150,,,,,,,,3,,3,,
1314,,1751,,COLOMBIA,2.5,-76.5,160,,,,,,,,,,,,
1315,Tsu,1751,6.6,JAPAN,37.2,138.1,30,2100,4,,,,,,4,9100,4,,
1319,Tsu,1751,8.5,CHILE,-36.83,-71.63,160,65,2,,,,,,3,,3,,
1317,,1751,6.8,CHINA,26.5,99.9,30,900,3,,,,,,4,15712,4,,
1320,,1751,,TURKEY,37.8,27,140,,,,,,,,,,,,
1321,,1751,,ITALY,43.2,12.8,130,,,,,,,,,,,,
1322,,1751,,DOMINICAN REPUBLIC,19,-70,90,,,,,,,,,,,,
6010,Tsu,1751,,HAITI,18.5,-72.3,90,,,,,,,,,,,,
1323,Tsu,1751,,DOMINICAN REPUBLIC,18.5,-70.7,90,,,,,,,,,,,,
8263,Tsu,1751,,ITALY,43.8,9,130,,,,,,,,1,,,,
1324,Tsu,1751,,HAITI,18.5,-72.3,90,,,,,,,,,,,,
7968,Tsu,1752,,PORTUGAL,40.4,-8.7,130,,,,,,,,,,,,
1327,,1752,,SYRIA,35,36,140,,,,,,,,,,,,
1326,,1752,,GREECE,37.8,21,130,,,,,,,,,,,,
1325,,1752,,ISRAEL,31.2,34.2,140,,,,,,,,,,,,
1328,,1754,,PHILIPPINES,14.002,120.993,170,12,1,,,,,,4,,4,,
5907,Tsu,1754,6.5,INDONESIA,-3.5,128.5,170,4,1,,,,,,2,,2,,2
1330,Tsu,1754,,MEXICO,16.8,-99.2,150,,,,,,,,3,,3,,
