I_D,FLAG_TSUNAMI,YEAR,EQ_PRIMARY,COUNTRY,LATITUDE,LONGITUDE,REGION_CODE,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
2520,Tsu,1897,8.7,PHILIPPINES,6,122,170,13,1,,,14,1,,3,,3,,
10053,Tsu,1897,,NEW ZEALAND,,,170,,,,,,,,,,,,
2525,Tsu,1897,8.1,PHILIPPINES,12,126,170,,1,,,,,,2,17,1,,
2527,,1897,,PHILIPPINES,12,126,170,,,,,,,,1,,,,
2529,,1897,7.9,PHILIPPINES,12,126,170,,,,,,,,,,,,
7141,Tsu,1897,,DOMINICAN REPUBLIC,18.5,-69.95,90,,,,,,,,2,,1,,3
2531,,1898,4.3,IRAN,36.5,54.9,140,,,,,,,,,,,,
2532,Tsu,1898,6.5,USA,38.2,-122.4,150,,,,,,,,2,,,,
2533,,1898,,USA,39,-124,150,,,,,,,,,,,,
2534,Tsu,1898,7.2,JAPAN,38.6,142,30,,,,,2,1,,3,,3,,
2536,,1898,7.9,NICARAGUA,12,-86,100,,,,,,,,2,,,,
2538,,1898,6,CHINA,39.8,76.6,40,47,1,,,85,2,,2,425,3,,
2539,,1898,,ITALY,42.4,13,130,,,,,,,,,,,,
2540,,1898,7.6,USA,52,172,150,,,,,,,,,,,,
2541,,1898,,CROATIA,43.6,16.7,130,,,,,,,,,,,,
6573,Tsu,1898,6.5,CHILE,-36.83,-73.03,160,6,1,,,,1,,2,,2,,
2542,,1898,6.2,GREECE,39.75,20.75,130,,,,,,,,2,,,,
2544,,1898,5.5,CHINA,39.1,113,30,12,1,,,,2,,2,570,3,,
7783,Tsu,1898,,GREECE,37.75,21,130,,,,,,,,1,,1,,
6230,Tsu,1899,,PAPUA NEW GUINEA,-3,152,170,,3,,,,,,2,,3,,
2546,Tsu,1899,6.6,GREECE,37.25,21.75,130,,,,,,,,,,,,
2548,,1899,8.4,MEXICO,17,-98,150,,,,,,,,,,,,
9212,Tsu,1899,,AUSTRALIA,-12.4,130.7,60,,,,,,,,,,,,
2550,,1899,6.9,BOLIVIA,-21.97,-63.67,160,,,,,,,,,,,,
2551,,1899,7.8,JAMAICA,18,-77,90,,,,,,,,,,,,
2552,,1899,,VENEZUELA,10.4,-69.2,160,,,,,,,,,,,,
2553,Tsu,1899,8.2,USA,60,-142,150,,,,,,,,1,,,,
2554,,1899,7.8,USA,60,-140,150,,,,,,,,,,,,
2557,Tsu,1899,8.2,USA,60,-140,150,,,,,,,,3,,,,
2559,,1899,6.7,TURKEY,37.93,28.84,140,1117,4,,,,4,,3,7126,4,,
6229,Tsu,1899,7.8,INDONESIA,-3,128.5,170,2460,4,,,300,3,,3,,,,
10090,Tsu,1899,,PAPUA NEW GUINEA,-5,148,170,,,,,,,,2,,3,,
2561,,1899,7.9,RUSSIA,53,159,50,,,,,,,,,,,,
2562,Tsu,1899,7.1,JAPAN,31.9,132,30,,,,,,,,1,,,,
6539,Tsu,1899,,JAPAN,31.9,132,30,,,,,,,,,,,,
2564,Tsu,1899,6.4,USA,33.5,-117,150,,,,,,,,,,,,
2565,,1899,5.6,TURKEY,41.6,43.5,140,,,,,,,,,,,,
9925,Tsu,1900,,INDONESIA,-0.03,127.25,170,,,,,,,,,,,,
2566,,1900,7.8,JAPAN,36.5,133.5,30,,,,,,,,,,,,
2567,,1900,,INDONESIA,-6.84,106.96,60,,,,,,,,2,,,,3
2569,,1900,7.4,MEXICO,20,-105,150,,,,,,,,1,,,,
2571,,1900,7.8,MEXICO,20,-105,150,,,,,,,,,,,,
2572,,1900,,VENEZUELA,10.3,-63.3,160,,,,,,,,,,,,
2573,,1900,7.5,COSTA RICA,10,-85.5,100,,,,,,,,,,,,
2574,,1900,5.9,TURKEY,40.3,43.1,140,,,,,,,,,,,,
2575,,1900,7.6,SOLOMON ISLANDS,-10,165,170,,,,,,,,,,,,
6231,Tsu,1900,,USA,58.6,-137.5,150,5,1,,,,,,,,,,
6232,Tsu,1900,6.8,PAPUA NEW GUINEA,-4,152,170,,,,,,,,1,,,,1
6234,Tsu,1900,7.1,PAPUA NEW GUINEA,-5,148,170,,,,,,,,,,,,
2577,,1900,7.9,COLOMBIA,4.6,-74,160,,,,,,,,,,,,
6574,Tsu,1900,6.9,INDONESIA,-4,140,170,5,1,,,,,,1,1,1,,
2580,,1900,8.3,USA,57.09,-153.48,150,,,,,,,,1,,,,
2583,Tsu,1900,8.4,VENEZUELA,11,-66,90,25,1,,,,,,3,,3,,3
2586,,1900,7.9,RUSSIA,43,146,50,,,,,,,,,,,,
10055,Tsu,1900,,VENEZUELA,10.6,-66.95,90,,,,,,,,,,,,
2587,,1901,7.8,ECUADOR,-2,-82,160,,,,,,,,,,,,
2588,,1901,6,CHINA,26,100.1,30,,3,,,,,,3,,3,,
7018,Tsu,1901,6.4,USA,36,-120.5,150,,,,,,,,1,,,,
2589,,1901,6.4,BULGARIA,43.4,28.7,110,4,1,,,50,1,,,1200,4,,
9778,Tsu,1901,7.2,BULGARIA,43.4,28.5,110,4,1,,,50,1,,3,1200,4,,
2591,,1901,7.5,RUSSIA,45,148,50,,,,,,,,,,,,
6575,Tsu,1901,,JAPAN,39,143,30,,,,,,,,,,,,
2592,Tsu,1901,7.9,JAPAN,27,130,30,,,,,,,,1,,,,
2594,Tsu,1901,7.9,JAPAN,40.5,142.5,30,,,,,,,,2,,,,
2595,Tsu,1901,7.9,NEW CALEDONIA,-22,170,170,,1,,,,,,2,,,,
2596,Tsu,1901,8.2,JAPAN,40.6,142.3,30,18,1,,,,,,2,8,1,,
2597,Tsu,1901,6.3,JAPAN,40.5,142.5,30,,,,,,,,,,,,
2598,Tsu,1901,,PHILIPPINES,14,121.6,170,,,,,,,,2,,,,2
9352,Tsu,1901,7,NICARAGUA,11,-86.5,100,,,,,,,,1,,,,
2599,,1901,6.1,TURKEY,40,41.5,140,,,,,,,,,,,,
2601,,1901,7.8,PHILIPPINES,14,122,170,,,,,,,,1,,,,
2602,,1901,5.9,TURKEY,39.4,26.7,140,,,,,,,,,,,,
2603,Tsu,1901,7.8,USA,51.45,-171.02,150,,,,,,,,,,,,
2606,,1902,7.8,USA,52.4,-167.5,150,,,,,,,,,,,,
2608,,1902,7,MEXICO,17.6,-99.7,150,2,1,,,2,1,,2,,,,
8773,Tsu,1902,6.3,GUATEMALA,14.71,-91.59,100,,,,,,,,1,,1,,
2610,,1902,7.8,PAPUA NEW GUINEA,-8,150,170,,,,,,,,,,,,
2612,,1902,7.8,TONGA,-20,-174,170,,,,,,,,,,,,
2613,,1902,6.9,AZERBAIJAN,40.7,48.6,40,86,2,,,60,2,,4,3496,4,,
2614,Tsu,1902,7,EL SALVADOR,13.5,-89.5,100,185,3,,,100,2,,3,,,,
2615,,1902,5.5,TURKEY,40.7,33.6,140,,,,,,,,,,,,
2618,Tsu,1902,7.5,GUATEMALA,14,-91,100,2000,4,,,,,,3,,,,
2619,,1902,,USA,34.5,-120.5,150,,,,,,,,,,,,
2621,,1902,,IRAN,26.6,56.2,140,,,,,,,,,,,,
2622,,1902,8,RUSSIA,50,148,50,,,,,,,,,,,,
2623,Tsu,1902,6.6,TURKEY,40.75,23.25,140,,,,,,,,,,,,
2624,,1902,,IRAN,27.1,56.3,140,,,,,,,,,,,,
2626,Tsu,1902,7.3,PHILIPPINES,7.5,123.5,170,,3,,,,,,3,,3,,
2631,,1902,7.7,CHINA,39.88,76.2,40,2500,4,,,,,,4,,4,,
2632,,1902,,PHILIPPINES,10.8,122.6,170,,,,,,,,,,,,
8116,,1902,5.5,CHINA,26.3,99.9,30,6,1,,,,,,2,,3,,
2634,,1902,8.1,USA TERRITORY,18,146,170,,,,,,1,,3,,,,
2635,,1902,7.8,MEXICO,16.6,-92.6,150,,,,,,,,3,,,,
10471,,1902,,USA,37.4,-113.5,150,,,,,,,,2,,,,3
2637,,1902,7.8,MEXICO,29,-114,150,,,,,,,,,,,,
2640,,1902,6.4,UZBEKISTAN,40.8,72.3,40,4880,4,,,,,,4,41704,4,,
2641,,1903,8,TONGA,-20,-175,170,,,,,,,,,,,,
2642,,1903,7.7,MEXICO,15,-98,150,,,,,,,,,,,,
2644,,1903,7.8,MONGOLIA,48,98,40,,,,,,,,,,,,
7101,Tsu,1903,,USA TERRITORY,14,143.3,170,,,,,,,,1,,,,1
2645,,1903,8.1,INDONESIA,-8,106,60,,,,,,,,,,,,
2646,,1903,5.7,ISRAEL,32.2,35.3,140,,,,,,,,,,,,
6237,Tsu,1903,6.5,INDONESIA,-3,127.5,170,,,,,,,,,,,,
2647,,1903,,TURKEY,39.1,42.4,140,,,,,,,,,,,,
2649,,1903,6.3,TURKEY,39.1,42.5,140,3560,4,,,,4,,4,12000,4,,
2652,,1903,7.9,VANUATU,-17,168,170,,,,,,,,,,,,
7784,Tsu,1903,,ITALY,38.1,13.4,130,,,,,,,,,,,,
2653,,1903,5.8,TURKEY,40.9,42.7,140,,,,,,,,,,,,
2656,Tsu,1903,8.3,USA,61.56,-158.54,150,,,,,,,,,,,,
6238,Tsu,1903,,MEXICO,16.7,-99.2,150,,,,,,,,,,,,
2657,,1903,,ITALY,44.3,10,130,,,,,,,,,,,,
2658,,1903,7.7,COLOMBIA,4.6,-74,160,,,,,,,,,,,,
2660,,1903,7.8,GREECE,36,23,130,2,1,,,,,,3,,,,
6554,Tsu,1903,,TAIWAN,,,30,,,,,,,,,,,,
2664,,1903,6.5,IRAN,35.2,58.2,140,,,,,,,,,,,,
6540,Tsu,1903,,CHILE,-20.2,-70.15,160,,,,,,,,,,,,
6239,Tsu,1903,6.5,CHILE,-28.5,-71,160,,1,,,,,,2,,2,,
2665,,1903,7.8,PHILIPPINES,7,126,170,,,,,,,,2,,,,3
2666,Tsu,1904,7.9,COLOMBIA,7,-79,160,,,,,,,,,,,,
2667,,1904,7.6,JAPAN,42.5,145.8,30,,,,,,,,,,,,
2670,,1904,7.5,BULGARIA,41.8,23.2,110,,,,,,,,3,,,,
2671,,1904,7.8,BULGARIA,41.8,23.2,110,,,,,,,,3,,,,
7991,,1904,6,TAIWAN,23.5,120.5,30,3,1,,,10,1,,2,66,2,,
2676,,1904,7.9,JAPAN,40,134,30,,,,,,,,,,,,
2678,Tsu,1904,8.3,RUSSIA,52,159,50,,,,,,,,1,,,,
2679,Tsu,1904,8.1,RUSSIA,52,159,50,,,,,,,,1,,,,
2682,,1904,7.9,RUSSIA,52,159,50,,,,,,,,,,,,
2683,Tsu,1904,7.5,NEW ZEALAND,-40.5,177,170,,,,,,,,,,,,
2684,,1904,6.2,GREECE,37.75,27,130,4,1,,,,,,3,540,3,,
2688,,1904,7.9,JAPAN,30,130,30,,,,,,,,,,,,
2690,,1904,8.3,USA,64.66,-148.08,150,,,,,,,,,,,,
2694,,1904,6,CHINA,31.2,100.9,30,400,3,,,,,,2,,3,,
6242,Tsu,1904,,INDONESIA,-7.7,109,60,,,,,,,,,,,,
2695,,1904,7.7,ECUADOR,-1,-80.5,160,,,,,,,,,,,,
2696,,1904,6.3,TAIWAN,23.5,120.3,30,145,3,,,158,3,,2,661,3,,
2700,Tsu,1904,7.2,PANAMA,9.2,-82.8,100,,,,,,,,,,,,
10144,Tsu,1905,6.8,COSTA RICA,9.85,-84.68,100,,,,,,,,1,,,,
2702,,1905,8.4,INDONESIA,1,123,170,,,,,,,,,,,,
2703,,1905,7.9,USA,50.73,-178.55,150,,,,,,,,,,,,
2707,,1905,7.5,KERMADEC ISLANDS (NEW ZEALAND),-27.5,-173,170,,,,,,,,,,,,
9194,Tsu,1905,,VANUATU,-15.6,167.2,170,,,,,,,,,,,,
2709,Tsu,1905,7.8,INDIA,33,76,60,19000,4,,,,,,4,,,,
2710,,1905,6.5,TURKEY,40.2,29,140,,,,,,,,,,,,
2711,,1905,,IRAN,26.4,56.3,140,,,,,,,,,,,,
2712,,1905,,MEXICO,20.3,-103.4,150,,,,,,,,,,,,
2713,,1905,7.5,PAPUA NEW GUINEA,-4,149,170,,,,,,,,,,,,
2715,,1905,6.6,ALBANIA,42.1,19.6,130,,,,,,,,,,,,
2717,,1905,7.8,JAPAN,34,132,30,11,1,,,,,,1,59,2,,
2718,,1905,7.6,KIRIBATI,-1,-168,170,,,,,,,,,,,,
2719,Tsu,1905,7,JAPAN,37.4,142.6,30,57,2,,,,,,,,,,
2722,,1905,8.4,MONGOLIA,49,99,40,,,,,,,,,,,,
2726,,1905,8.4,MONGOLIA,49,98,40,,,,,,,,,,,,
2728,,1905,,ITALY,42.1,13.9,130,,,,,,,,,,,,
2729,,1905,7.5,JAPAN,45,143,30,,,,,,,,,,,,
2732,Tsu,1905,7.1,ITALY,38.67,16.07,130,557,3,,,2000,4,,4,6700,4,,
2735,,1905,7.8,RUSSIA,53,164,50,,,,,,,,,,,,
6506,Tsu,1905,5.1,RUSSIA,44.5,37.5,40,,,,,,,,,,,,
2736,,1905,6.4,BULGARIA,42,23,110,,,,,,,,,,,,
2737,Tsu,1905,7.5,GEORGIA,42,42,40,,,,,,,,,,,,
8109,,1905,5,CHINA,29.3,104.8,30,13,1,,,,1,,1,3,1,,
2739,Tsu,1905,7.2,GREECE,40.092,24.627,130,11,1,,,,,,2,,,,
9192,Tsu,1905,,VANUATU,-17.7,168.3,170,,,,,,,,,,,,
9193,Tsu,1905,,VANUATU,-17.7,168.3,170,,,,,,,,,,,,
2743,,1905,6.8,TURKEY,38.1,38.6,140,,,,,,,,,,,,
6245,Tsu,1905,6.5,PHILIPPINES,11,123.5,170,,,,,,,,1,,,,
2701,,1905,,SYRIA,36.1,37.1,140,,,,,,,,2,,3,,
9915,Tsu,1905,,TUNISIA,37.3,9.9,15,,,,,,,,,,,,
7992,,1906,5.5,CHINA,26.6,104.1,30,,3,,,,,,2,,3,,
2744,,1906,8.4,JAPAN,34,138,30,,,,,,,,,,,,
6899,Tsu,1906,,VENEZUELA,10.5,-66.917,90,,,,,,,,,,,,
2748,Tsu,1906,8.6,ECUADOR,1,-81.5,160,1000,3,,,,,,3,,3,,
2753,,1906,7.7,COLOMBIA,3.5,-76.2,160,,,,,,,,,,,,
6627,Tsu,1906,,ECUADOR,1,-81,160,,,,,,,,,,,,
6717,,1906,,SAINT LUCIA,14,-61,90,,,,,,,,1,,,,
7265,Tsu,1906,,COLOMBIA,3.9,-77.033,160,,,,,,,,,,,,
2757,,1906,6.5,ALBANIA,41.1,20,130,,,,,,,,,,,,
2762,,1906,6.8,TAIWAN,23.6,120.5,30,1258,4,,,145,3,,3,6769,4,,
8110,,1906,6.5,CHINA,24.5,118.5,30,,3,,,,3,,2,,2,,
2764,,1906,7.5,MEXICO,19,-113.8,150,,,,,,,,,,,,
2766,,1906,6.5,TAIWAN,23.4,120.4,30,15,1,,,84,2,,3,1794,4,,
2768,Tsu,1906,7.9,USA,37.67,-122.48,150,,,,,,,,,,,,
6617,Tsu,1906,,CHILE,-18.5,-70.3,160,,,,,,,,,,,,
2771,,1906,5.3,CHINA,24.6,98.6,30,1,1,,,,,,2,,3,,
2772,,1906,7.7,COLOMBIA,4.6,-74,160,,,,,,,,,,,,
2773,,1906,7.7,COLOMBIA,4.6,-74,160,,,,,,,,,,,,
2777,,1906,7.8,USA,51.05,179.69,150,,,,,,,,,,,,
2779,Tsu,1906,8.2,CHILE,-33,-72,160,4000,4,,,,,100,4,,,,
2780,,1906,6.8,ETHIOPIA,9,38.4,10,,,,,,,,,,,,
2782,Tsu,1906,8,PAPUA NEW GUINEA,-7,149,170,,2,,,,,,3,,3,,
2783,,1906,,ITALY,38,13.7,130,,,,,,,,,,,,
2784,,1906,7.9,ECUADOR,-2,-79,160,,,,,,,,1,,,,
2787,Tsu,1906,7.2,PAPUA NEW GUINEA,-4,149,170,,,,,,,,1,,,,
2788,,1906,7.8,AUSTRALIA,-22,109,60,,,,,,,,,,,,
2789,Tsu,1906,5,GHANA,6.5,0.3,10,,,,,,,,2,,3,,
2790,,1906,7.9,MARTINIQUE,15,-61,90,,,,,,,,,,,,
2794,,1906,8.3,CHINA,43.5,85,40,280,3,,,,,,3,2000,4,,
2796,,1906,7.6,USA,56.85,-153.9,150,,,,,,,,,,,,
2798,Tsu,1906,7.9,PERU,-18,-71,160,,,,,,,,,,,,
2800,Tsu,1907,7.8,INDONESIA,2,94.5,60,400,3,,,,,,3,,3,,
2801,Tsu,1907,6.5,JAMAICA,18.2,-76.8,90,1000,3,,,,,30,4,,3,,
2802,,1907,,ITALY,38,13.7,130,,,,,,,,,,,,
2803,,1907,7.6,PERU,-13.2,-75.4,160,,,,,,,,,,,,
6246,Tsu,1907,7.3,INDONESIA,3,122,170,,,,,,,,,,,,
2804,Tsu,1907,8.3,MEXICO,17,-100,150,8,1,,,,,,2,,3,,
2807,,1907,7.6,PHILIPPINES,14,123,170,2,1,,,,1,,3,,,,
7866,,1907,7.4,PHILIPPINES,13.5,123,170,,,,,,,,1,,,,
2808,,1907,7.7,PAPUA NEW GUINEA,-7.5,153.7,170,,,,,,,,,,,,
2810,,1907,7.9,RUSSIA,51.5,147,50,,,,,,,,,,,,
2811,,1907,,PHILIPPINES,18,120,170,,,,,,,,,,,,
2813,,1907,7.9,INDONESIA,1,127,170,,,,,,,,,,,,
2814,,1907,,INDONESIA,-2,121,170,,,,,,,,2,213,3,,
2815,,1907,6.2,ALBANIA,41.1,20.1,130,,,,,,,,,,,,
2816,,1907,7.8,USA,52.59,-169.73,150,,,,,,,,,,,,
8053,Tsu,1907,5.5,USA,59.5,-135.5,150,,,,,,,,,,,,
2819,,1907,7.7,MEXICO,28,-112.5,150,,,,,,,,,,,,
2821,,1907,7.4,TAJIKISTAN,38.5,67.9,40,12000,4,,,,,,3,,3,,
2827,Tsu,1907,5.9,ITALY,38.133,16.017,130,158,3,,,,,,2,,3,,
2828,,1907,,PERU,-8.01,-76.79,160,,,,,,,,,,,,
2829,,1907,,PHILIPPINES,14,123,170,,,,,,,,2,,,,
6249,Tsu,1907,7.4,PAPUA NEW GUINEA,-3.1,142.5,170,,,,,,,,2,,3,,
10011,Tsu,1907,,TONGA,-21.17,-175.73,170,,,,,,,,,,,,
6250,Tsu,1908,7.5,INDONESIA,-2,100,60,,,,,,,,,,,,
6251,Tsu,1908,6,USA,61,-146.2,150,,,,,,,,,,,,
2832,,1908,7.5,PHILIPPINES,9,126,170,,,,,,,,,,,,
7527,Tsu,1908,6.6,INDONESIA,-10,129,60,,,,,,,,1,,,,
2833,,1908,8.1,MEXICO,18,-99,150,,,,,,,,2,,,,
2835,,1908,7.5,MEXICO,17,-101,150,,,,,,,,,,,,
2836,,1908,7.5,INDONESIA,3,123,170,,,,,,,,,,,,
6252,Tsu,1908,6.8,USA,19,-155,150,,,,,,,,,,,,
2838,,1908,7,AFGHANISTAN,36.5,70.5,40,,,,,,,,,,,,
2840,,1908,7.6,RUSSIA,45,150,50,,,,,,,,,,,,
2844,Tsu,1908,,PERU,-14,-78,160,,,,,,,,,,,,
2842,,1908,7.2,MYANMAR (BURMA),26.639,96.866,60,,,,,,,,,,,,
2846,Tsu,1908,7,ITALY,38.17,15.58,130,80000,4,,,,,116,4,,4,,
2849,,1909,5.8,TURKEY,38.6,26.9,140,,,,,,,,,,,,
2850,,1909,7.7,IRAN,33,50,140,55004,4,,,,,,2,,,,
2853,,1909,,MOROCCO,35.6,-5.4,15,100,2,,,,,,3,,,,
2854,,1909,6.3,TURKEY,40.2,37.8,140,,,,,,,,,,,,
2856,,1909,7.8,FIJI,-18,-179,170,,,,,,,,,,,,
6253,Tsu,1909,6.7,JAPAN,34.5,141.5,30,,,,,,,,1,,,,
2857,Tsu,1909,7.5,JAPAN,34.5,141.5,30,,,,,,,,1,,,,
2858,,1909,,PHILIPPINES,8,127,170,,,,,,,,,,,,
2859,,1909,,ITALY,44.5,10.5,130,,,,,,,,,,,,
2860,,1909,7.8,USA,52,175,150,,,,,,,,,,,,
2861,,1909,7.3,TAIWAN,25,121.5,30,9,1,,,51,2,,1,122,3,,
2864,,1909,6.6,PORTUGAL,38.9,-8.8,130,30,1,,,,,,2,,2,,
8158,,1909,,CAMEROON,4.2,9.2,10,,,,,,,,,,,,
2866,,1909,6.5,CHINA,24.4,103,30,21,1,,,,,,2,,3,,
2868,Tsu,1909,7.6,INDONESIA,-2,101,60,,3,,,,,,3,,3,,
2870,,1909,,ITALY,43.2,11.5,130,,,,,,,,,,,,
2871,Tsu,1909,7.6,CHILE,-26.5,-70.5,160,,,,,,,,,,,,
2867,,1909,6.2,FRANCE,43.7,5.4,120,,,,,,,,,,,,
2876,,1909,8.1,AFGHANISTAN,36.5,70.5,40,,,,,,,,,,,,
2880,,1909,,PAKISTAN,35.5,72.5,60,,,,,,,,,,,,
9332,Tsu,1909,,VANUATU,-15.5,167.2,170,,,,,,,,2,,3,,
2881,,1909,5.7,GREECE,37.9,21.5,130,,,,,,,,,,,,
2884,Tsu,1909,7.8,MEXICO,16.8,-99.8,150,,,,,,,,3,,3,,
2886,Tsu,1909,6.9,JAPAN,35.4,136.3,30,41,1,,,,,,3,976,3,,
2888,,1909,,ITALY,43.2,11.5,130,,,,,,,,,,,,
10470,Tsu,1909,,USA,41.8,-112.7,150,,,,,,,,1,,,,
2889,,1909,7.2,PAKISTAN,30,68,60,,,,,,,,,,,,
2890,,1909,,ITALY,37.7,15.2,130,,,,,,,,,,,,
2891,,1909,5.8,TURKEY,40.3,29.6,140,,,,,,,,,,,,
2892,,1909,4.7,MEXICO,17,-101.2,150,,,,,,,,,,,,
2893,,1909,7.9,JAPAN,32,131,30,,,,,,,,,,,,
7993,,1909,7.3,TAIWAN,24.4,121.8,30,4,1,,,,,,1,14,1,,
2895,,1909,7.7,SOLOMON ISLANDS,-10,165,170,,,,,,,,,,,,
2894,Tsu,1909,8,USA TERRITORY,12.5,145,170,,,,,,,,2,,,,
2898,,1910,7.5,HONDURAS,17,-85,90,,,,,,,,,,,,
2899,,1910,6.8,CHINA,35,122,30,,,,,,,,2,,3,,
2900,,1910,7.4,JAPAN,33,138.5,30,,,,,,,,,,,,
7464,Tsu,1910,6,PAPUA NEW GUINEA,-4.25,152.25,170,,,,,,,,,,,,
2901,,1910,7.8,TAIWAN,25.5,122.5,30,60,2,,,,,,1,13,1,,
2902,,1910,,COSTA RICA,9.8,-84,100,,,,,,,,,,,,
2904,,1910,,COSTA RICA,10,-84,100,,,,,,,,,,,,
2905,,1910,7.5,JAPAN,42,145,30,,,,,,,,,,,,
2906,,1910,7.5,VANUATU,-20,169,170,,,,,,,,,,,,
2908,,1910,5.9,ITALY,40.9,15.4,130,,,,,,,,,,,,
2909,,1910,7.9,VANUATU,-19,169.5,170,,,,,,,,,,,,
2910,,1910,6.4,ALGERIA,36,4,15,12,1,,,,,,1,,,,
2911,,1910,6.1,TURKEY,40.9,34.6,140,,,,,,,,,,,,
2912,,1910,6.9,MEXICO,16.8,-95.9,150,,,,,,,,,,,,
2913,,1910,,MOROCCO,35.3,-2.97,15,,,,,,,,,,,,
9272,,1910,7.9,VANUATU,-16,166,170,,,,,,,,,,,,
2914,Tsu,1910,7.2,VANUATU,-14,166.5,170,,,,,,,,2,,,,
2915,,1910,8,SOLOMON ISLANDS,-8,167,170,,,,,,,,,,,,
2916,,1910,7.3,ZAMBIA,-8,31,10,,,,,,,,,,,,
2917,,1910,7.5,INDONESIA,4.5,126,170,,,,,,,,,,,,
6576,Tsu,1910,6.7,INDONESIA,4,127,170,,,,,,,,1,,,,1
6541,Tsu,1910,6.2,PHILIPPINES,9,125.5,170,,,,,,,,1,,,,
2919,,1911,7.7,KAZAKHSTAN,43.5,77.5,40,450,3,,,,,,3,,,,
7994,,1911,5.5,CHINA,39.8,114.5,30,,1,,,,1,,2,,3,,
8391,Tsu,1911,,PHILIPPINES,14.002,120.993,170,1335,4,,,199,3,,3,543,3,,1
7868,,1911,7.4,TAJIKISTAN,38.2,72.8,40,90,2,,,,,,3,,3,,
2925,,1911,6.7,GREECE,41.1,20.7,130,,,,,,,,,,,,
2927,,1911,6.7,IRAN,31.23,57.03,140,700,3,,,,,,3,,3,,
2928,,1911,7.6,RUSSIA,51.8,156,50,,,,,,,,,,,,
6254,Tsu,1911,,PAPUA NEW GUINEA,-4.25,152.25,170,,,,,,,,,,,,
8111,,1911,5.5,CHINA,23,115.3,30,,,,,,,,2,,3,,
2932,,1911,7.9,MEXICO,17.5,-102.5,150,45,1,,,22,1,,,,,,
2935,Tsu,1911,8,JAPAN,28,130,30,12,1,,,,,,3,422,3,,
2936,,1911,7.6,AFGHANISTAN,36,70.5,40,,,,,,,,,,,,
2940,Tsu,1911,7.8,PHILIPPINES,9,126,170,,,,,,,,3,,,,3
2941,,1911,5,FRANCE,43.2,0.2,120,,,,,,,,,,,,
2943,,1911,7.7,"MICRONESIA, FED. STATES OF",7,137,170,,,,,,,,,,,,
6256,Tsu,1911,7.3,CHILE,-20,-72,160,,,,,,,,,,,,
10027,,1911,6.9,USA,60.5,-149,150,,,,,,,,1,,,,
2944,,1911,4.3,ITALY,37.7,15.2,130,,,,,,,,,,,,
2945,,1911,,ALBANIA,40.4,20.5,130,,,,,,,,,,,,
2946,,1911,7.6,MEXICO,17,-100.7,150,,,,,,,,,,,,
2948,,1912,7,GREECE,38,20.5,130,,,,,,,,,,,,
2949,,1912,7.5,ICELAND,64,-20,120,,,,,,,,,,,,
2951,,1912,,MEXICO,20.4,-103.2,150,,,,,,,,,,,,
2953,,1912,8,MYANMAR (BURMA),21,97,60,,,,,,,,,,,,
6257,Tsu,1912,6.6,JAPAN,40.5,142,30,,,,,,,,1,,,,
2954,,1912,7,PERU,-5.62,-80.413,160,,3,,,,3,,3,,3,,
2955,Tsu,1912,7.8,TURKEY,40.5,27.2,140,3000,4,,,1575,4,,4,5540,4,,
2962,,1912,,MEXICO,19.9,-99.9,150,,,,,,,,,,,,
2963,,1912,7.5,"MICRONESIA, FED. STATES OF",7,138,170,,,,,,,,,,,,
6258,Tsu,1912,6.9,"MICRONESIA, FED. STATES OF",7,138,170,,,,,,,,,,,,
2964,,1912,7.5,USA,57.5,-155,150,,,,,,,,,,,,
2965,,1912,,PHILIPPINES,12.6,124,170,,,,,,,,,,,,
2966,,1912,7.8,MEXICO,19.9,-99.8,150,,,,,,,,,,,,
6577,Tsu,1912,,"MICRONESIA, FED. STATES OF",,,170,,,,,,,,,,,,
2967,,1912,7.5,ARGENTINA,-29,-62.5,160,,,,,,,,,,,,
2969,,1913,7.5,RUSSIA,46,152,50,,,,,,,,,,,,
6259,Tsu,1913,6.8,NEW ZEALAND,-41.8,171.5,170,,,,,,,,1,,1,,
2970,,1913,7.7,ECUADOR,-3.4,-79.6,160,,3,,,,,,3,,3,,
2973,Tsu,1913,7.8,INDONESIA,5.354,126.121,170,138,3,,,,2,,2,,3,,
2974,,1913,5.8,IRAN,26.8,53.7,140,11,1,,,,,,,,,,
2975,,1913,7.7,PHILIPPINES,9.5,127.8,170,,,,,,,,,,,,
2976,,1913,7.5,PAPUA NEW GUINEA,-5,154,170,,,,,,,,,,,,
2979,,1913,6.8,BULGARIA,43.5,25.5,110,,,,,,,,,,,,
2982,,1913,7.6,TONGA,-20,-174,170,,,,,,,,,,,,
2983,,1913,,ITALY,39.6,16.2,130,,,,,,,,,,,,
6260,Tsu,1913,7,PERU,-16.6,-73.3,160,,,,,,,,1,,,,
2985,,1913,7.7,RUSSIA,47.5,155.5,50,,,,,,,,,,,,
